Passport,Destination,PI,HPI
San Marino,Saint Kitts and Nevis,e-visa,visa free
San Marino,Sierra Leone,visa on arrival,visa required
Sao Tome and Principe,Angola,visa on arrival,visa required
Sao Tome and Principe,Azerbaijan,covid ban,visa required
Sao Tome and Principe,Djibouti,e-visa,visa on arrival
Sao Tome and Principe,Gambia,90,visa required
Sao Tome and Principe,Guyana,visa on arrival,visa required
Sao Tome and Principe,Iran,e-visa,visa on arrival
Sao Tome and Principe,Nigeria,visa on arrival,visa required
Sao Tome and Principe,Palestine,visa free,visa required
Sao Tome and Principe,Sierra Leone,visa on arrival,visa required
Saudi Arabia,Angola,visa on arrival,visa required
Saudi Arabia,Djibouti,e-visa,visa on arrival
Saudi Arabia,Gabon,e-visa,visa on arrival
Saudi Arabia,Guyana,visa on arrival,visa required
Saudi Arabia,Iran,e-visa,visa on arrival
Saudi Arabia,Montenegro,30,visa required
Saudi Arabia,Nigeria,visa on arrival,visa required
Saudi Arabia,Palestine,visa free,visa required
Saudi Arabia,Singapore,e-visa,visa free
Saudi Arabia,Turkey,visa on arrival,visa required
Saudi Arabia,Uzbekistan,90,visa required
Saudi Arabia,Zambia,90,visa required
Senegal,Angola,visa on arrival,visa required
Senegal,Azerbaijan,covid ban,visa required
Senegal,Djibouti,e-visa,visa on arrival
Senegal,Ethiopia,e-visa,visa on arrival
Senegal,Guyana,visa on arrival,visa required
Senegal,Iran,e-visa,visa on arrival
Senegal,Mozambique,e-visa,visa free
Senegal,Palestine,visa free,visa required
Serbia,Angola,visa on arrival,visa required
Serbia,Antigua and Barbuda,e-visa,visa free
Serbia,Azerbaijan,e-visa,visa free
Serbia,Djibouti,e-visa,visa on arrival
Serbia,Guyana,visa on arrival,visa required
Serbia,Iran,e-visa,visa on arrival
Serbia,Mozambique,e-visa,visa on arrival
Serbia,Nigeria,visa on arrival,visa required
Serbia,Saint Kitts and Nevis,e-visa,visa free
Serbia,Sierra Leone,visa on arrival,visa required
Serbia,Venezuela,visa required,visa free
Seychelles,Azerbaijan,covid ban,visa required
Seychelles,Djibouti,e-visa,visa on arrival
Seychelles,Ethiopia,e-visa,visa on arrival
Seychelles,Guyana,visa on arrival,visa required
Seychelles,Iran,e-visa,visa on arrival
Seychelles,Palestine,visa free,visa required
Seychelles,Sri Lanka,e-visa,visa free
Sierra Leone,Angola,visa on arrival,visa required
Sierra Leone,Azerbaijan,covid ban,visa required
Sierra Leone,Djibouti,e-visa,visa on arrival
Sierra Leone,Ethiopia,e-visa,visa on arrival
Sierra Leone,Guyana,visa on arrival,visa required
Sierra Leone,Iran,e-visa,visa on arrival
Singapore,Benin,e-visa,visa on arrival
Singapore,China,covid ban,visa free
Singapore,Guyana,visa on arrival,visa required
Singapore,Iran,e-visa,visa on arrival
Singapore,Nigeria,visa on arrival,visa required
Singapore,South Korea,e-visa,visa free
Singapore,Sri Lanka,e-visa,visa free
Slovakia,Angola,visa on arrival,visa required
Slovakia,Djibouti,e-visa,visa on arrival
Slovakia,Gabon,e-visa,visa on arrival
Slovakia,Gambia,90,visa required
Slovakia,Guyana,visa on arrival,visa required
Slovakia,Iran,e-visa,visa on arrival
Slovakia,Myanmar,e-visa,visa on arrival
Slovakia,Nigeria,visa on arrival,visa required
Slovenia,Angola,visa on arrival,visa required
Slovenia,Djibouti,e-visa,visa on arrival
Slovenia,Gabon,e-visa,visa on arrival
Slovenia,Guyana,visa on arrival,visa required
Slovenia,Iran,e-visa,visa on arrival
Slovenia,Myanmar,e-visa,visa on arrival
Slovenia,Nigeria,visa on arrival,visa required
Solomon Islands,Angola,visa on arrival,visa required
Solomon Islands,Armenia,e-visa,visa on arrival
Solomon Islands,Azerbaijan,covid ban,visa required
Solomon Islands,Djibouti,e-visa,visa on arrival
Solomon Islands,Guyana,visa on arrival,visa required
Solomon Islands,Iran,e-visa,visa on arrival
Solomon Islands,Nigeria,visa on arrival,visa required
Somalia,Angola,visa on arrival,visa required
Somalia,Azerbaijan,covid ban,visa required
Somalia,Bolivia,visa on arrival,visa required
Somalia,Canada,no admission,visa required
Somalia,Djibouti,e-visa,visa on arrival
Somalia,Ethiopia,e-visa,visa on arrival
Somalia,Guyana,visa on arrival,visa required
Somalia,Mozambique,e-visa,visa on arrival
Somalia,Palestine,visa free,visa required
Somalia,Sierra Leone,visa on arrival,visa required
Somalia,Suriname,90,visa required
South Africa,Azerbaijan,visa on arrival,visa required
South Africa,Djibouti,e-visa,visa on arrival
South Africa,Ethiopia,e-visa,visa on arrival
South Africa,Iran,e-visa,visa on arrival
South Africa,Suriname,90,visa required
South Korea,Angola,visa on arrival,visa required
South Korea,Djibouti,e-visa,visa on arrival
South Korea,Gabon,e-visa,visa on arrival
South Korea,Iran,e-visa,visa on arrival
South Korea,Myanmar,e-visa,visa on arrival
South Korea,Nigeria,visa on arrival,visa required
South Korea,Somalia,visa on arrival,visa required
South Sudan,Angola,visa on arrival,visa required
South Sudan,Azerbaijan,covid ban,visa required
South Sudan,Bangladesh,visa on arrival,visa required
South Sudan,Djibouti,e-visa,visa on arrival
South Sudan,Ethiopia,e-visa,visa on arrival
South Sudan,Guyana,visa on arrival,visa required
South Sudan,Iran,e-visa,visa on arrival
South Sudan,Nigeria,visa on arrival,visa required
South Sudan,Saint Kitts and Nevis,e-visa,visa free
South Sudan,Sierra Leone,visa on arrival,visa required
Spain,Angola,visa on arrival,visa required
Spain,Djibouti,e-visa,visa on arrival
Spain,Gabon,e-visa,visa on arrival
Spain,Iran,e-visa,visa on arrival
Spain,Myanmar,e-visa,visa on arrival
Spain,Nigeria,visa on arrival,visa required
Spain,South Korea,e-visa,visa free
Sri Lanka,Angola,visa on arrival,visa required
Sri Lanka,Azerbaijan,visa on arrival,visa required
Sri Lanka,Djibouti,e-visa,visa on arrival
Sri Lanka,Guyana,visa on arrival,visa required
Sri Lanka,Mozambique,e-visa,visa on arrival
Sri Lanka,Nigeria,visa on arrival,visa required
Sri Lanka,Suriname,90,visa required
Sri Lanka,Venezuela,90,visa required
Saint Vincent and the Grenadines,Angola,visa on arrival,visa required
Saint Vincent and the Grenadines,Azerbaijan,covid ban,visa required
Saint Vincent and the Grenadines,Djibouti,e-visa,visa on arrival
Saint Vincent and the Grenadines,Egypt,visa on arrival,visa required
Saint Vincent and the Grenadines,Iran,e-visa,visa on arrival
Saint Vincent and the Grenadines,Nigeria,visa on arrival,visa required
Saint Vincent and the Grenadines,Turkey,visa on arrival,visa required
Sudan,Angola,visa on arrival,visa required
Sudan,Azerbaijan,covid ban,visa required
Sudan,Bolivia,visa on arrival,visa required
Sudan,Djibouti,e-visa,visa on arrival
Sudan,Ethiopia,e-visa,visa on arrival
Sudan,Guyana,visa on arrival,visa required
Sudan,Iran,e-visa,visa on arrival
Sudan,Libya,no admission,visa required
Sudan,Sierra Leone,visa on arrival,visa required
Suriname,Angola,visa on arrival,visa required
Suriname,Armenia,e-visa,visa on arrival
Suriname,Azerbaijan,covid ban,visa required
Suriname,Bangladesh,visa on arrival,visa required
Suriname,Djibouti,e-visa,visa on arrival
Suriname,Iran,e-visa,visa on arrival
Suriname,Nigeria,visa on arrival,visa required
Suriname,Sierra Leone,visa on arrival,visa required
Sweden,Angola,visa on arrival,visa required
Sweden,Djibouti,e-visa,visa on arrival
Sweden,Gabon,e-visa,visa on arrival
Sweden,Iran,e-visa,visa on arrival
Sweden,Myanmar,e-visa,visa on arrival
Sweden,Nigeria,visa on arrival,visa required
Sweden,South Korea,e-visa,visa free
Switzerland,Angola,visa on arrival,visa required
Switzerland,Djibouti,e-visa,visa on arrival
Switzerland,Iran,e-visa,visa on arrival
Switzerland,Myanmar,e-visa,visa on arrival
Switzerland,Nigeria,visa on arrival,visa required
Switzerland,Sierra Leone,visa on arrival,visa required
Syria,Angola,visa on arrival,visa required
Syria,Azerbaijan,covid ban,visa required
Syria,Djibouti,e-visa,visa on arrival
Syria,Guyana,visa on arrival,visa required
Syria,Libya,no admission,visa required
Syria,Nigeria,visa on arrival,visa required
Syria,Palestine,visa free,visa required
Syria,Sierra Leone,visa on arrival,visa required
Syria,Sri Lanka,visa required,e-visa
Syria,Sudan,visa required,visa free
Syria,Suriname,90,visa required
Taiwan,Angola,visa on arrival,visa required
Taiwan,Armenia,e-visa,visa on arrival
Taiwan,Azerbaijan,covid ban,visa required
Taiwan,Bolivia,visa on arrival,visa required
Taiwan,Djibouti,e-visa,visa on arrival
Taiwan,Georgia,no admission,visa required
Taiwan,Guyana,visa on arrival,visa required
Taiwan,Hong Kong,30,visa required
Taiwan,Iran,e-visa,visa on arrival
Taiwan,Myanmar,visa required,visa on arrival
Taiwan,Nigeria,visa on arrival,visa required
Taiwan,Philippines,visa required,e-visa
Taiwan,Sierra Leone,visa on arrival,visa required
Taiwan,South Korea,e-visa,visa free
Tajikistan,Angola,visa on arrival,visa required
Tajikistan,Djibouti,e-visa,visa on arrival
Tajikistan,Gambia,90,visa required
Tajikistan,Guyana,visa on arrival,visa required
Tajikistan,Iran,e-visa,visa on arrival
Tajikistan,Kyrgyzstan,no admission,visa free
Tajikistan,Nigeria,visa on arrival,visa required
Tajikistan,Oman,e-visa,visa free
Tajikistan,Palestine,visa free,visa required
Tajikistan,Sierra Leone,visa on arrival,visa required
Tajikistan,Syria,visa required,visa on arrival
Tanzania,Angola,visa on arrival,visa required
Tanzania,Azerbaijan,covid ban,visa required
Tanzania,Djibouti,e-visa,visa on arrival
Tanzania,Ethiopia,e-visa,visa on arrival
Tanzania,Guyana,visa on arrival,visa required
Tanzania,Iran,e-visa,visa on arrival
Thailand,Albania,visa required,visa free
Thailand,Angola,visa on arrival,visa required
Thailand,Djibouti,e-visa,visa on arrival
Thailand,Guyana,visa on arrival,visa required
Thailand,Iran,e-visa,visa on arrival
Thailand,Nigeria,visa on arrival,visa required
Thailand,Palestine,visa free,visa required
Timor-Leste,Angola,visa on arrival,visa required
Timor-Leste,Armenia,e-visa,visa on arrival
Timor-Leste,Azerbaijan,covid ban,visa required
Timor-Leste,Bolivia,visa on arrival,visa required
Timor-Leste,Djibouti,e-visa,visa on arrival
Timor-Leste,Egypt,visa on arrival,visa required
Timor-Leste,Guyana,visa on arrival,visa required
Timor-Leste,Iran,e-visa,visa on arrival
Timor-Leste,Mozambique,e-visa,visa on arrival
Timor-Leste,Nigeria,visa on arrival,visa required
Timor-Leste,Palestine,visa free,visa required
Timor-Leste,United Kingdom,180,visa required
Togo,Angola,visa on arrival,visa required
Togo,Azerbaijan,covid ban,visa required
Togo,Djibouti,e-visa,visa on arrival
Togo,Ethiopia,e-visa,visa on arrival
Togo,Guyana,visa on arrival,visa required
Togo,Iran,e-visa,visa on arrival
Tonga,Angola,visa on arrival,visa required
Tonga,Armenia,e-visa,visa on arrival
Tonga,Azerbaijan,covid ban,visa required
Tonga,Djibouti,e-visa,visa on arrival
Tonga,Guyana,visa on arrival,visa required
Tonga,Iran,e-visa,visa on arrival
Tonga,Nigeria,visa on arrival,visa required
Tonga,Pakistan,e-visa,visa free
Trinidad and Tobago,Angola,visa on arrival,visa required
Trinidad and Tobago,Armenia,e-visa,visa on arrival
Trinidad and Tobago,Azerbaijan,covid ban,visa required
Trinidad and Tobago,Djibouti,e-visa,visa on arrival
Trinidad and Tobago,Iran,e-visa,visa on arrival
Trinidad and Tobago,Nigeria,visa on arrival,visa required
Tunisia,Angola,visa on arrival,visa required
Tunisia,Azerbaijan,covid ban,visa required
Tunisia,Djibouti,e-visa,visa on arrival
Tunisia,Ethiopia,e-visa,visa on arrival
Tunisia,Guyana,visa on arrival,visa required
Tunisia,Iran,e-visa,visa on arrival
Tunisia,Nigeria,visa on arrival,visa required
Tunisia,Oman,e-visa,visa free
Tunisia,Palestine,visa free,visa required
Tunisia,Sierra Leone,visa on arrival,visa required
Tunisia,Suriname,90,visa required
Turkey,Angola,visa on arrival,visa required
Turkey,Bahrain,e-visa,visa on arrival
Turkey,Burkina Faso,visa on arrival,visa required
Turkey,Djibouti,e-visa,visa on arrival
Turkey,Egypt,visa required,visa on arrival
Turkey,Equatorial Guinea,90,visa required
Turkey,Gabon,e-visa,visa on arrival
Turkey,Guyana,visa on arrival,visa required
Turkey,Libya,visa on arrival,visa required
Turkey,Nigeria,visa on arrival,visa required
Turkey,Palestine,visa free,visa required
Turkmenistan,Angola,visa on arrival,visa required
Turkmenistan,Armenia,visa required,visa on arrival
Turkmenistan,Djibouti,e-visa,visa on arrival
Turkmenistan,Guyana,visa on arrival,visa required
Turkmenistan,Iran,e-visa,visa on arrival
Turkmenistan,Nigeria,visa on arrival,visa required
Turkmenistan,Palestine,visa free,visa required
Turkmenistan,Sierra Leone,visa on arrival,visa required
Turkmenistan,Syria,visa required,visa on arrival
Tuvalu,Angola,visa on arrival,visa required
Tuvalu,Armenia,e-visa,visa on arrival
Tuvalu,Azerbaijan,covid ban,visa required
Tuvalu,Djibouti,e-visa,visa on arrival
Tuvalu,Guyana,visa on arrival,visa required
Tuvalu,Iran,e-visa,visa on arrival
Tuvalu,Nigeria,visa on arrival,visa required
Tuvalu,Palestine,visa free,visa required
Uganda,Angola,visa on arrival,visa required
Uganda,Azerbaijan,covid ban,visa required
Uganda,Djibouti,e-visa,visa on arrival
Uganda,Ethiopia,e-visa,visa on arrival
Uganda,Guyana,visa on arrival,visa required
Uganda,Iran,e-visa,visa on arrival
Uganda,Mauritius,visa required,visa free
Uganda,South Sudan,e-visa,visa on arrival
Ukraine,Angola,visa on arrival,visa required
Ukraine,Djibouti,e-visa,visa on arrival
Ukraine,Gambia,90,visa required
Ukraine,Guyana,visa on arrival,visa required
Ukraine,Iran,e-visa,visa on arrival
Ukraine,Kosovo,90,visa required
Ukraine,Myanmar,e-visa,visa on arrival
Ukraine,Nigeria,visa on arrival,visa required
United Arab Emirates,Angola,visa on arrival,visa required
United Arab Emirates,Cameroon,visa on arrival,visa required
United Arab Emirates,Djibouti,e-visa,visa on arrival
United Arab Emirates,Swaziland,visa required,visa free
United Arab Emirates,Gabon,e-visa,visa on arrival
United Arab Emirates,Ghana,visa on arrival,visa required
United Arab Emirates,Guinea,visa on arrival,visa required
United Arab Emirates,Iran,e-visa,visa on arrival
United Arab Emirates,Jamaica,visa on arrival,visa required
United Arab Emirates,Kiribati,visa required,visa free
United Arab Emirates,Niger,visa on arrival,visa required
United Arab Emirates,Nigeria,visa on arrival,visa required
United Arab Emirates,Palestine,visa free,visa required
United Arab Emirates,Turkey,visa on arrival,visa required
United Kingdom,Angola,visa on arrival,visa required
United Kingdom,Djibouti,e-visa,visa on arrival
United Kingdom,Gabon,e-visa,visa on arrival
United Kingdom,Myanmar,e-visa,visa on arrival
United Kingdom,Nigeria,visa on arrival,visa required
United Kingdom,South Korea,e-visa,visa free
United States,Angola,visa on arrival,visa required
United States,Djibouti,e-visa,visa on arrival
United States,Equatorial Guinea,visa free,visa required
United States,Gabon,e-visa,visa on arrival
United States,Myanmar,e-visa,visa on arrival
United States,Nigeria,visa on arrival,visa required
United States,South Korea,e-visa,visa free
United States,Turkey,visa on arrival,visa required
Uruguay,Angola,visa on arrival,visa required
Uruguay,Azerbaijan,covid ban,visa required
Uruguay,Djibouti,e-visa,visa on arrival
Uruguay,Iran,e-visa,visa on arrival
Uruguay,Nigeria,visa on arrival,visa required
Uruguay,Sierra Leone,visa on arrival,visa required
Uzbekistan,Angola,visa on arrival,visa required
Uzbekistan,Djibouti,e-visa,visa on arrival
Uzbekistan,Gambia,90,visa required
Uzbekistan,Guyana,visa on arrival,visa required
Uzbekistan,Iran,e-visa,visa on arrival
Uzbekistan,Nigeria,visa on arrival,visa required
Uzbekistan,Oman,e-visa,visa free
Uzbekistan,Palestine,visa free,visa required
Uzbekistan,Sierra Leone,visa on arrival,visa required
Uzbekistan,Syria,visa required,visa on arrival
Vanuatu,Andorra,visa required,visa free
Vanuatu,Angola,visa on arrival,visa required
Vanuatu,Armenia,e-visa,visa on arrival
Vanuatu,Azerbaijan,covid ban,visa required
Vanuatu,Belize,visa free,visa required
Vanuatu,Djibouti,e-visa,visa on arrival
Vanuatu,Guyana,visa on arrival,visa required
Vanuatu,Iceland,visa required,visa free
Vanuatu,Iran,e-visa,visa on arrival
Vanuatu,Liechtenstein,visa required,visa free
Vanuatu,Monaco,visa required,visa free
Vanuatu,Nigeria,visa on arrival,visa required
Vanuatu,Norway,visa required,visa free
Vanuatu,San Marino,visa required,visa free
Vanuatu,United Kingdom,180,visa required
Vatican,Angola,visa on arrival,visa required
Vatican,Azerbaijan,covid ban,visa required
Vatican,Djibouti,e-visa,visa on arrival
Vatican,Egypt,visa on arrival,visa required
Vatican,Guyana,visa on arrival,visa required
Vatican,Iran,e-visa,visa on arrival
Vatican,Mexico,visa required,visa free
Vatican,Nigeria,visa on arrival,visa required
Vatican,Sierra Leone,visa on arrival,visa required
Vatican,Zambia,e-visa,visa on arrival
Venezuela,Angola,visa on arrival,visa required
Venezuela,Armenia,e-visa,visa on arrival
Venezuela,Azerbaijan,covid ban,visa required
Venezuela,Djibouti,e-visa,visa on arrival
Venezuela,Guyana,visa on arrival,visa required
Venezuela,Indonesia,visa required,visa on arrival
Venezuela,Nigeria,visa on arrival,visa required
Venezuela,Palestine,visa free,visa required
Venezuela,Serbia,visa required,visa free
Venezuela,Sierra Leone,visa on arrival,visa required
Venezuela,Suriname,90,visa required
Venezuela,Tajikistan,visa on arrival,visa required
Vietnam,Angola,visa on arrival,visa required
Vietnam,Azerbaijan,visa on arrival,visa required
Vietnam,Djibouti,e-visa,visa on arrival
Vietnam,Ecuador,e-visa,visa free
Vietnam,Guyana,visa on arrival,visa required
Vietnam,Iran,e-visa,visa on arrival
Vietnam,Kuwait,visa required,visa on arrival
Vietnam,Nigeria,visa on arrival,visa required
Vietnam,Oman,e-visa,visa free
Vietnam,Palestine,visa free,visa required
Yemen,Angola,visa on arrival,visa required
Yemen,Azerbaijan,covid ban,visa required
Yemen,Bolivia,visa on arrival,visa required
Yemen,Djibouti,e-visa,visa on arrival
Yemen,Ecuador,e-visa,visa free
Yemen,Guyana,visa on arrival,visa required
Yemen,Iran,no admission,visa required
Yemen,Libya,no admission,visa required
Yemen,Mozambique,e-visa,visa on arrival
Yemen,Nigeria,visa on arrival,visa required
Yemen,Palestine,visa free,visa required
Yemen,Sierra Leone,visa on arrival,visa required
Zambia,Azerbaijan,covid ban,visa required
Zambia,Djibouti,e-visa,visa on arrival
Zambia,Ethiopia,e-visa,visa on arrival
Zambia,Guyana,visa on arrival,visa required
Zambia,Iran,e-visa,visa on arrival
Zambia,Suriname,90,visa required
Zimbabwe,Azerbaijan,covid ban,visa required
Zimbabwe,Djibouti,e-visa,visa on arrival
Zimbabwe,Ethiopia,e-visa,visa on arrival
Zimbabwe,Guyana,visa on arrival,visa required
Zimbabwe,Iran,e-visa,visa on arrival
Zimbabwe,Palestine,visa free,visa required
Zimbabwe,Sierra Leone,visa on arrival,visa required
